dist	Gene	pairLabel
7.148508	SELENBP1	Nuc3_gene1_SE33
6.280093	SELENBP1	Nuc3_gene2_SE33
4.521465	SELENBP1	Nuc3_gene1_SE34
6.381038	SELENBP1	Nuc3_gene2_SE34
9.90071	SELENBP1	Nuc3_gene1_SE35
5.259597	SELENBP1	Nuc3_gene2_SE35
8.888692	SELENBP1	Nuc3_gene1_SE36
3.771647	SELENBP1	Nuc3_gene2_SE36
6.052566	SELENBP1	Nuc3_gene1_SE37
3.49005	SELENBP1	Nuc3_gene2_SE37
6.543155	SELENBP1	Nuc3_gene1_SE38
2.771382	SELENBP1	Nuc3_gene2_SE38
8.283426	SELENBP1	Nuc3_gene1_SE39
6.051723	SELENBP1	Nuc3_gene2_SE39
5.956706	SELENBP1	Nuc3_gene1_SE40
5.04841	SELENBP1	Nuc3_gene2_SE40
7.819134	SELENBP1	Nuc3_gene1_SE41
0.841024	SELENBP1	Nuc3_gene2_SE41
8.050744	SELENBP1	Nuc3_gene1_SE42
2.477583	SELENBP1	Nuc3_gene2_SE42
9.773291	SELENBP1	Nuc3_gene1_SE43
4.978219	SELENBP1	Nuc3_gene2_SE43
5.914154	SELENBP1	Nuc3_gene1_SE44
6.874265	SELENBP1	Nuc3_gene2_SE44
7.225187	SELENBP1	Nuc3_gene1_SE45
2.580353	SELENBP1	Nuc3_gene2_SE45
10.215152	SELENBP1	Nuc3_gene1_SE46
3.369018	SELENBP1	Nuc3_gene2_SE46
7.849106	SELENBP1	Nuc3_gene1_SE47
3.951236	SELENBP1	Nuc3_gene2_SE47
8.436988	SELENBP1	Nuc3_gene1_SE48
2.225631	SELENBP1	Nuc3_gene2_SE48
10.454053	SELENBP1	Nuc3_gene1_SE49
5.466936	SELENBP1	Nuc3_gene2_SE49
8.11406	SELENBP1	Nuc3_gene1_SE50
5.869464	SELENBP1	Nuc3_gene2_SE50
2.893781	SELENBP1	Nuc4_gene1_SE1
3.063656	SELENBP1	Nuc4_gene2_SE1
3.380396	SELENBP1	Nuc4_gene3_SE1
2.4692	SELENBP1	Nuc4_gene1_SE2
4.568769	SELENBP1	Nuc4_gene2_SE2
2.98143	SELENBP1	Nuc4_gene3_SE2
0.926896	SELENBP1	Nuc4_gene1_SE3
4.288272	SELENBP1	Nuc4_gene2_SE3
2.823305	SELENBP1	Nuc4_gene3_SE3
2.89892	SELENBP1	Nuc4_gene1_SE4
2.794912	SELENBP1	Nuc4_gene2_SE4
0.642956	SELENBP1	Nuc4_gene3_SE4
4.974834	SELENBP1	Nuc4_gene1_SE5
6.126825	SELENBP1	Nuc4_gene2_SE5
3.02967	SELENBP1	Nuc4_gene3_SE5
3.283945	SELENBP1	Nuc4_gene1_SE6
3.168988	SELENBP1	Nuc4_gene2_SE6
4.936104	SELENBP1	Nuc4_gene3_SE6
3.39691	SELENBP1	Nuc4_gene1_SE7
1.824125	SELENBP1	Nuc4_gene2_SE7
2.740311	SELENBP1	Nuc4_gene3_SE7
5.221392	SELENBP1	Nuc4_gene1_SE8
3.43945	SELENBP1	Nuc4_gene2_SE8
5.339507	SELENBP1	Nuc4_gene3_SE8
5.92008	SELENBP1	Nuc4_gene1_SE9
6.580926	SELENBP1	Nuc4_gene2_SE9
4.659968	SELENBP1	Nuc4_gene3_SE9
5.399289	SELENBP1	Nuc4_gene1_SE10
5.491007	SELENBP1	Nuc4_gene2_SE10
6.498563	SELENBP1	Nuc4_gene3_SE10
7.315117	SELENBP1	Nuc4_gene1_SE11
6.089963	SELENBP1	Nuc4_gene2_SE11
5.596721	SELENBP1	Nuc4_gene3_SE11
5.723043	SELENBP1	Nuc4_gene1_SE12
6.072687	SELENBP1	Nuc4_gene2_SE12
5.579582	SELENBP1	Nuc4_gene3_SE12
4.730757	SELENBP1	Nuc5_gene1_SE1
5.172927	SELENBP1	Nuc5_gene2_SE1
6.051366	SELENBP1	Nuc5_gene1_SE2
5.811047	SELENBP1	Nuc5_gene2_SE2
13.835774	SELENBP1	Nuc5_gene1_SE3
11.100627	SELENBP1	Nuc5_gene2_SE3
4.940602	SELENBP1	Nuc5_gene1_SE4
6.124527	SELENBP1	Nuc5_gene2_SE4
4.672439	SELENBP1	Nuc5_gene1_SE5
5.999116	SELENBP1	Nuc5_gene2_SE5
6.06945	SELENBP1	Nuc5_gene1_SE6
6.210772	SELENBP1	Nuc5_gene2_SE6
6.290511	SELENBP1	Nuc5_gene1_SE7
5.609044	SELENBP1	Nuc5_gene2_SE7
4.937634	SELENBP1	Nuc5_gene1_SE8
3.176062	SELENBP1	Nuc5_gene2_SE8
4.434886	SELENBP1	Nuc5_gene1_SE9
7.115053	SELENBP1	Nuc5_gene2_SE9
4.093255	SELENBP1	Nuc5_gene1_SE10
6.184507	SELENBP1	Nuc5_gene2_SE10
6.340253	SELENBP1	Nuc5_gene1_SE11
6.043662	SELENBP1	Nuc5_gene2_SE11
5.066121	SELENBP1	Nuc5_gene1_SE12
7.282763	SELENBP1	Nuc5_gene2_SE12
6.115799	SELENBP1	Nuc5_gene1_SE13
6.355344	SELENBP1	Nuc5_gene2_SE13
4.761922	SELENBP1	Nuc5_gene1_SE14
4.791143	SELENBP1	Nuc5_gene2_SE14
5.312085	SELENBP1	Nuc5_gene1_SE15
4.928552	SELENBP1	Nuc5_gene2_SE15
3.663204	SELENBP1	Nuc5_gene1_SE16
5.733013	SELENBP1	Nuc5_gene2_SE16
5.042657	SELENBP1	Nuc5_gene1_SE17
5.253109	SELENBP1	Nuc5_gene2_SE17
4.722619	SELENBP1	Nuc5_gene1_SE18
4.551968	SELENBP1	Nuc5_gene2_SE18
6.393637	SELENBP1	Nuc5_gene1_SE19
4.685526	SELENBP1	Nuc5_gene2_SE19
6.384539	SELENBP1	Nuc5_gene1_SE20
4.455702	SELENBP1	Nuc5_gene2_SE20
3.950289	SELENBP1	Nuc5_gene1_SE21
6.771738	SELENBP1	Nuc5_gene2_SE21
4.484351	SELENBP1	Nuc5_gene1_SE22
4.235054	SELENBP1	Nuc5_gene2_SE22
4.900593	SELENBP1	Nuc5_gene1_SE23
7.860669	SELENBP1	Nuc5_gene2_SE23
3.998992	SELENBP1	Nuc5_gene1_SE24
7.391415	SELENBP1	Nuc5_gene2_SE24
4.695769	SELENBP1	Nuc5_gene1_SE25
7.164595	SELENBP1	Nuc5_gene2_SE25
4.126069	SELENBP1	Nuc5_gene1_SE26
6.008533	SELENBP1	Nuc5_gene2_SE26
6.302821	SELENBP1	Nuc5_gene1_SE27
6.654206	SELENBP1	Nuc5_gene2_SE27
14.060565	SELENBP1	Nuc5_gene1_SE28
10.579565	SELENBP1	Nuc5_gene2_SE28
3.955557	SELENBP1	Nuc5_gene1_SE29
5.081086	SELENBP1	Nuc5_gene2_SE29
6.071607	SELENBP1	Nuc5_gene1_SE30
4.003885	SELENBP1	Nuc5_gene2_SE30
4.469703	SELENBP1	Nuc5_gene1_SE31
4.413844	SELENBP1	Nuc5_gene2_SE31
