dist	Gene	pairLabel
4.607509	CD36	Nuc7_gene1_SE75
3.652563	CD36	Nuc7_gene1_SE76
3.68983	CD36	Nuc7_gene1_SE77
4.04477	CD36	Nuc8_gene1_SE1
6.37459	CD36	Nuc8_gene2_SE1
7.209218	CD36	Nuc8_gene3_SE1
5.017354	CD36	Nuc8_gene1_SE2
5.499297	CD36	Nuc8_gene2_SE2
6.28212	CD36	Nuc8_gene3_SE2
6.759008	CD36	Nuc8_gene1_SE3
5.972104	CD36	Nuc8_gene2_SE3
6.940951	CD36	Nuc8_gene3_SE3
4.313185	CD36	Nuc8_gene1_SE4
6.324195	CD36	Nuc8_gene2_SE4
7.342479	CD36	Nuc8_gene3_SE4
5.040274	CD36	Nuc8_gene1_SE5
2.914517	CD36	Nuc8_gene2_SE5
3.240679	CD36	Nuc8_gene3_SE5
4.164766	CD36	Nuc8_gene1_SE6
5.412242	CD36	Nuc8_gene2_SE6
6.606112	CD36	Nuc8_gene3_SE6
2.895832	CD36	Nuc8_gene1_SE7
5.883006	CD36	Nuc8_gene2_SE7
7.633259	CD36	Nuc8_gene3_SE7
6.177684	CD36	Nuc8_gene1_SE8
5.698424	CD36	Nuc8_gene2_SE8
6.307182	CD36	Nuc8_gene3_SE8
3.612456	CD36	Nuc8_gene1_SE9
4.963838	CD36	Nuc8_gene2_SE9
6.891647	CD36	Nuc8_gene3_SE9
4.98647	CD36	Nuc8_gene1_SE10
5.298951	CD36	Nuc8_gene2_SE10
6.449784	CD36	Nuc8_gene3_SE10
6.279195	CD36	Nuc8_gene1_SE11
5.431784	CD36	Nuc8_gene2_SE11
6.999216	CD36	Nuc8_gene3_SE11
5.537827	CD36	Nuc8_gene1_SE12
5.147896	CD36	Nuc8_gene2_SE12
6.855781	CD36	Nuc8_gene3_SE12
3.407931	CD36	Nuc8_gene1_SE13
5.566403	CD36	Nuc8_gene2_SE13
5.759669	CD36	Nuc8_gene3_SE13
4.334473	CD36	Nuc8_gene1_SE14
4.509222	CD36	Nuc8_gene2_SE14
6.25094	CD36	Nuc8_gene3_SE14
1.74715	CD36	Nuc8_gene1_SE15
4.871931	CD36	Nuc8_gene2_SE15
7.082537	CD36	Nuc8_gene3_SE15
7.081424	CD36	Nuc8_gene1_SE16
5.978235	CD36	Nuc8_gene2_SE16
5.713857	CD36	Nuc8_gene3_SE16
4.532857	CD36	Nuc8_gene1_SE17
4.762365	CD36	Nuc8_gene2_SE17
7.044918	CD36	Nuc8_gene3_SE17
3.046293	CD36	Nuc8_gene1_SE18
6.576234	CD36	Nuc8_gene2_SE18
7.291628	CD36	Nuc8_gene3_SE18
6.837572	CD36	Nuc8_gene1_SE19
4.805814	CD36	Nuc8_gene2_SE19
5.942516	CD36	Nuc8_gene3_SE19
6.367743	CD36	Nuc8_gene1_SE20
5.450642	CD36	Nuc8_gene2_SE20
4.94001	CD36	Nuc8_gene3_SE20
7.334894	CD36	Nuc8_gene1_SE21
5.578579	CD36	Nuc8_gene2_SE21
5.657949	CD36	Nuc8_gene3_SE21
0.945591	CD36	Nuc8_gene1_SE22
5.058828	CD36	Nuc8_gene2_SE22
7.094786	CD36	Nuc8_gene3_SE22
7.46165	CD36	Nuc8_gene1_SE23
5.594427	CD36	Nuc8_gene2_SE23
5.236246	CD36	Nuc8_gene3_SE23
6.131489	CD36	Nuc8_gene1_SE24
4.325672	CD36	Nuc8_gene2_SE24
4.246431	CD36	Nuc8_gene3_SE24
5.997199	CD36	Nuc8_gene1_SE25
3.632467	CD36	Nuc8_gene2_SE25
